week,pub_date,title,teaser,url
31,8/1/2012,"How To Make Your Tofu And Eat It, Too","Toss out the notion that tofu is a mere substitute for meat or eggs, and embrace the essence of the soybean. Making your own tofu isn't hard. And the results more than make up for the labor - yielding a vegan staple that can star on its own, lightly dressed, or as a base in recipes from snacks to desserts.",http://www.npr.org/2012/08/01/157701522/how-to-make-your-tofu-and-eat-it-too
30,7/25/2012,You Can Never Have Too Many Blackberries,"This wild bramble can easily grow to take over a yard, becoming an impenetrable thicket. But all is forgiven when you find a particularly good patch of big, juicy, sweet-tart berries.",http://www.npr.org/2012/07/24/157276973/you-can-never-have-too-many-blackberries
29,7/18/2012,Just Add Water: The Miracle Of Seaweed,"You may have had nori - the ubiquitous red seaweed that dries to black or green - wrapped around rice in sushi maki, or as roasted, salted crisps. Its popularity makes it a good gateway to an array of sea veggies.",http://www.npr.org/2012/07/17/156918881/just-add-water-the-miracle-of-seaweed
28,7/11/2012,Making The Case For Beets,"This vegetable suffers all sorts of indignities. People say beets taste like metal, mud, wood - even dirty socks (that's hard-core beet hate). But despite their detractors, beets are experiencing a culinary heyday. Try them in soup, salad, rice or even a smoothie.",http://www.npr.org/2012/07/11/156370570/making-the-case-for-beets
27,7/3/2012,Thinking Outside The Bento Box,"Originally just a convenient boxed lunch for Japanese field workers, bentos today can be high art, with flower-petal carrots, hard-boiled eggs shaped into bunnies, broccoli sculpted into trees. But you don't have to cook Japanese food - or make cute cutouts - to reap the benefits of the bento.",http://www.npr.org/2012/07/03/156199639/thinking-outside-the-bento-box
26,6/27/2012,The International Flavors Of All-American Coleslaw,There's much more to slaw than the creamy muddle of carrot-flecked cabbage found on many a picnic table. Forgo the mayo - and even the cabbage - with these shredded salads reflecting flavors from around the globe.,http://www.npr.org/2012/06/26/155771052/the-international-flavors-of-all-american-coleslaw
25,6/20/2012,A Twist On Tea And Cookies,These aren't just treats to be served alongside a strong cuppa - they have tea leaves baked right in. Food writer Monica Bhide asks chefs which teas to try and how to use them.,http://www.npr.org/2012/06/19/155362689/a-twist-on-tea-and-cookies
24,6/13/2012,Just A Pinch Of Thought Brightens Fruit Salad,"A simple addition can coax an ordinary fruit salad into another dimension, one with texture and depth instead of just a rainbow spectrum of sweetness: nuts.",http://www.npr.org/2012/06/12/154822249/just-a-pinch-of-thought-brightens-fruit-salad
23,6/5/2012,Trifle: A Grand Dessert With A Humble Name,"Alternating layers of moist, spongy cake, creamy custard and sweet fruit with a dreamy whipped topping, Britain's beloved trifle is a decadent dish that can be quite simple to make.",http://www.npr.org/2012/06/04/154284441/trifle-a-grand-dessert-with-a-humble-name
22,5/29/2012,Picnics That Can Make It To The Top Of The Mountain,"After some hikes, a granola bar or apple is all you need to recharge. But some treks call for a proper picnic - food you can sit and linger over, savoring the meal along with the summit view. These sturdy, well-seasoned dishes go the distance.",http://www.npr.org/2012/05/29/153720207/picnics-that-can-make-it-to-the-top-of-the-mountain
21,5/23/2012,What The Well-Dressed Salad Is Wearing For Spring,"The side salad has undergone an evolution in mainstream America, from the simple heavily dressed chunk of lettuce, to vibrant kitchen-sink medleys. Now, in many areas, a bounty of local, seasonal ingredients is at our fingertips, helping to elevate the side salad to star status.",http://www.npr.org/2012/05/22/153272314/what-the-well-dressed-salad-is-wearing-for-spring
20,5/16/2012,Even Your Mother Will Approve Of Vegetable Chips,"If you're like most Americans, you love chips, particularly potato chips. But that gloriously crunchy, fried snack isn't that good for you. These baked veggie chips are a health food in comparison. By making your own, you control what goes into them, and what stays out.",http://www.npr.org/2012/05/15/152748537/even-your-mother-will-approve-of-vegetable-chips
19,5/9/2012,Power Puff: Flex Your Culinary Muscle With A Souffle,"The souffle has a reputation for being finicky in the kitchen: a billowy, golden masterpiece that collapses as soon as it's out of the oven. But home cooks should have no fear, says food writer Nicole Spiridakis. The key to success, she says, is fresh eggs - and a pinch of moxie.",http://www.npr.org/2012/05/08/152261197/power-puff-flex-your-culinary-muscle-with-a-souffle
18,5/2/2012,You Don't Have To Like Liver To Love Pate,"The word ""pate"" may elicit disgust or salivation depending on the listener's attitude toward liver. Yet not all pate is made from liver. It might be fish or another meat, or vegetables - even cheese. If you're looking for uncommonly rich flavor, though, don't shy away from the innards.",http://www.npr.org/2012/05/01/151773724/you-dont-have-to-like-liver-to-love-pate
17,4/25/2012,Overnight Breakfast: A Feast For Reluctant Risers,"If you're the sort of person who thinks nothing of a midnight turn on the dance floor, you can handle mixing up a simple dough or cracking a couple of eggs while the moon sets sail across the sky. Then, when morning comes, flip on the oven or stovetop, and sip your coffee smugly while breakfast essentially makes itself.",http://www.npr.org/2012/04/24/151302334/overnight-breakfast-a-feast-for-reluctant-risers
16,4/18/2012,Rice: A Rainbow Of Possibilities,"It's an ingredient with the power to define a culture. And if, like food writer Monica Bhide, you grew up eating only white rice, it's time to branch out: Green bamboo rice, black ""forbidden"" rice, red rice and sticky rice are just a few varieties that bring distinct flavors and textures to special preparations.",http://www.npr.org/2012/04/17/150723012/rice-a-rainbow-of-possibilities
15,4/11/2012,No Ordinary Bake Sale: Simply Made From Scratch,Churn out your own show-stopping sweets - like whoopie pies and Pixy Stix - in little more time than it takes to make cupcakes from a box or pick up something from the store. Having the right recipes on hand is a good first step. ,http://www.npr.org/2012/04/10/150348542/bake-sale-homemade-treats-in-a-cinch
14,4/4/2012,Carrots: Beyond The Relish Tray,"A staple on raw veggie platters and relish trays, or commonly tossed into a soup or pot roast, carrots often just blend into the background. But carrots are so complex in both flavor and aroma, they deserve much more.",http://www.npr.org/2012/04/03/149926712/carrots-beyond-the-relish-tray
13,3/28/2012,"Take Time To Savor The Borek, A Flaky Turkish Snack","Savory fillings are rolled up in dough to form half-moons, narrow cigars, coiled snails or ornate roses, or cut into dainty squares from a large pan. It's like a little gift-wrapped package with a delicious surprise inside, built for enjoying slowly.",http://www.npr.org/2012/03/27/149467233/take-time-to-savor-the-borek-a-flaky-turkish-snack
12,3/21/2012,Doesn't Take Much To Do It Yourself In The Kitchen,"For home cooks with enough interest and imagination, the do-it-yourself world is practically limitless. The store-bought stuff just can't match what's made from scratch - from cured salmon to a Nutella-inspired chocolate spread.",http://www.npr.org/2012/03/21/149036552/doesnt-take-much-kitchen-space-to-do-it-yourself
11,3/14/2012,"Escarole, Cinderella Of The Chicories","This subtle relative of bitter chicories may masquerade among the lettuces, but it's not just for salads. Sturdy escarole stands up to a saute, simmer or braise; with heat it seems to mellow and ripen in flavor, growing only sweeter for the ordeal.",http://www.npr.org/2012/03/13/148525455/escarole-cinderella-of-the-chicories
10,3/7/2012,Slow-Cooker Meals: A Warm Welcome Home,"When the air is chill and the day is hectic, there's nothing like arriving home and bursting through the door to find hearty aromas beckoning you to the kitchen - especially if it's a meal that practically cooked itself. A little prep work and a few hands-free hours is all it takes to make curry, meatballs, Mexican stew and more.",http://www.npr.org/2012/03/06/148053823/slow-cooker-meals-a-warm-welcome-home
9,2/29/2012,"Pintxos: The Flavors Of Spain, On A Toothpick","These skewered arrangements of preserved and fresh meats, cheeses and vegetables are a Basque contribution to the regional tradition of tapas, or small plates. Creating colorful patterns and explosive flavors in one bite, ",http://www.npr.org/2012/02/28/147571827/pintxos-the-flavors-of-spain-on-a-toothpick
8,2/22/2012,The Secret Strength Of Beef Soup,"It takes a few leisurely hours to draw the magic out of meaty beef bones. Boiled at length, they produce a savory base for all sorts of soups, from borscht to ",http://www.npr.org/2012/02/21/147202253/the-secret-strength-of-beef-soup
7,2/15/2012,Baking Without Flour Brings Sweet Results,"Even if you're not trying to avoid gluten, flourless recipes may be appealing for other reasons - namely, their simplicity and spare ingredient list. With these indulgent treats, you'll never notice what's missing.",http://www.npr.org/2012/02/14/146872166/baking-without-flour-brings-sweet-results
6,2/8/2012,How To Get Your Goat,"It's widely eaten in the rest of world, and now goat's popularity is growing in America's increasingly diverse marketplace. Bring goat into your kitchen with these recipes for curry, mole rojo, meatballs and more - or churn up a sweet goat-milk caramel ice cream.",http://www.npr.org/2012/02/07/146474817/how-to-get-your-goat
5,1/31/2012,"Super Bowl, Hoosier Style","The NFL championship is in Indianapolis this Sunday, and Indianans will be flaunting their signature items alongside beer, pizza and other standard football fare: pork,  popcorn and sugar-cream pie. What's on the menu at your football party?",http://www.npr.org/2012/01/31/146142331/super-bowl-hoosier-style
4,1/25/2012,"A Trip Around The World, By Way Of Seasonings","The crunchy five-spice mix of India, the searing hot harissa from  Tunisia, the aromatic herbes de Provence of southern France and the  earthy berbere of Ethiopia are simple ways to bring global flavors into  the kitchen with little effort.",http://www.npr.org/2012/01/24/145719363/a-trip-around-the-world-by-way-of-seasonings
3,1/18/2012,Bread Redux: Don't Throw Out Those Stale Loaves,"You might think those scraps are past their prime, but think again. You can give old bread a delicious second life in soup, salad, desserts and more.",http://www.npr.org/2012/01/17/145343357/bread-redux-dont-throw-out-those-stale-loaves
2,1/11/2012,Mediterranean Flatbreads: A Framework For Flavor,"As a quick snack or light meal, the flatbreads of Spain are a favorite of food writer Deena Prichep. Catalonia's cocas start with handmade yeasted dough, pulled into a thin oval like a pizza. They're topped with a flourish of veggies, herbs, meats or sweets.",http://www.npr.org/2012/01/10/144966039/mediterranean-flatbreads-a-framework-for-flavor
1,1/4/2012,"A Toast To Fresh, Festive Cocktails","No question: Cocktails are an indulgence. But using fresh produce and herbs instead of syrupy mixers can cut calories - and boost flavor. This trend in mixology gave rise to ""naked"" or ""skinny"" cocktail options and ""spa-tinis"" on many bar menus. But it's easy to mix your own versions at home.",http://www.npr.org/2012/01/03/144616121/a-toast-to-fresh-festive-cocktails
52,12/28/2011,Baking With Sweet Alternatives,"Substituting for white sugar brings a spirit of adventure to baking for food writer Nicole Spiridakis. Her experimenting started with honey and branched out to agave, molasses, maple syrup and more.",http://www.npr.org/2011/12/27/144321788/baking-with-sweet-alternatives
51,12/20/2011,Do-It-Yourself Marshmallows,"They're a sweet steeped in tradition, but marshmallows aren't just for campfires and cocoa. The soft, silky homemade kind lend themselves to all sorts of flavors - from vanilla and chocolate to pepper and chili.",http://www.npr.org/2011/12/20/144025246/do-it-yourself-marshmallows
50,12/13/2011,Jacques Pepin: An American From Paris,"We know Jacques Pepin as a master culinary technician, but there's another story that almost never gets told. It's one about coming to America with nothing and working harder than ever because he had fallen in love with the country.",http://www.npr.org/2011/12/13/143669613/jacques-pepin-an-american-from-paris
49,12/7/2011,The Crackling Spices Of Indian Tempering,A ,http://www.npr.org/2011/12/07/143251451/the-crackling-spices-of-indian-tempering
48,11/30/2011,Cracking The Poached Egg Code,"How to perfectly poach an egg? It seems everyone has a secret, from the egg itself to the pot or pan to the cooking time and temperature. But there's no mystery, as food writer Janet Zimmerman attests. Practice makes perfect - and opens up a world of luscious recipes.",http://www.npr.org/2011/11/29/142903042/cracking-the-poached-egg-code
47,11/23/2011,Looking Forward To Thanksgiving Leftovers,"Americans' favorite way to eat leftover Thanksgiving turkey is in a sandwich the next day. But this time, think outside the bread: Try tucking turkey into quinoa salad, quesadillas or an egg scramble. Cranberries and mashed potatoes get a second life, too.",http://www.npr.org/2011/11/22/142660907/looking-forward-to-thanksgiving-leftovers
46,11/16/2011,Thanksgiving From America's Melting Pot,"It may look like traditional stuffing, but this comforting dish has a twist: crumbles of spicy-sweet Portuguese sausage. Americans nowadays tend to set their holiday tables with foods reflecting many countries' traditions.",http://www.npr.org/2011/11/14/142305954/thanksgiving-from-americas-melting-pot
45,11/9/2011,Cooking With Boar: A Walk On The Wild Side,"Boar isn't as commonly eaten in the U.S. as it is in Europe, but it is gaining popularity. High in protein, low in fat, with distinct and versatile flavor, boar meat has another plus for food writer Lynda Balslev: It rekindles memories of a family trip to Italy.",http://www.npr.org/2011/11/08/142136933/cooking-with-boar-a-walk-on-the-wild-side
44,11/1/2011,Crostatas: They're Easy As Pie,"The Italian crostata balances a simple, seasonal filling with the sweet dough that encases it - unlike many pies, which make the filling the star. For fall, try a lattice-topped crostata filled with tender apple and pear chunks, or sweet squash mixed with delicate ricotta and spiked  with cinnamon.",http://www.npr.org/2011/11/01/141898438/crostatas-theyre-easy-as-pie
43,10/26/2011,Fish Stews: Comfort Without The Work,"Some of the comfort foods we crave when the weather starts to cool require a lot of time and effort to get to the table. But these simple fish dishes offer warmth, autumnal flavor and the soulful reassurance of a full-bodied broth - without all the effort.",http://www.npr.org/2011/10/26/141680028/fish-stews-comfort-without-the-work
42,10/19/2011,Colonizers' Influence Infuses Southeast Asian Cuisine,"Food writer Eve Turow shares the foods and customs she delighted in - many of which have French and Dutch roots - during her recent travels in Vietnam, Cambodia and Laos.",http://www.npr.org/2011/10/18/141465353/colonizers-influence-infuses-southeast-asian-cuisine
41,10/12/2011,"Canning To Remember The Past, Welcome The Future","Homemade blackberry jam seemed to Northern California food writer Nicole Spiridakis the perfect parting favor for guests of her upcoming wedding. Picking berries and filling 103 jars with their summery essence took time but wasn't hard, she says.",http://www.npr.org/2011/10/11/141240218/canning-to-remember-the-past-welcome-the-future
40,10/5/2011,Showing Compassion Through The Gift Of Food,"Whether it's meant to soothe or to celebrate, the act of giving sustenance communicates caring and strengthens neighborly bonds. Food writer Michele Kayal shares heart- and hearth-warming recipes for quiche, soup, cinnamon rolls and more.",http://www.npr.org/2011/10/04/141013068/showing-compassion-through-the-gift-of-food
39,9/28/2011,Fresh Curry Leaves Add A Touch Of India,"The aromatic leaves - not at all related to curry powder - impart a pungent, lime-lemony flavor to breads, main dishes, cocktails and more. Food writer Monica Bhide, from the northern part of India, calls them the culinary essence of her youth.",http://www.npr.org/2011/09/28/140735689/fresh-curry-leaves-add-a-touch-of-india
38,9/21/2011,Grown-Up Apples And Honey For Rosh Hashana,"Many of food writer Deena Prichep's childhood memories of the Jewish holiday involve a bowl of  MacIntoshes and a bear-shaped plastic squeeze bottle. But her grown-up sweet tooth craves a more sophisticated way to invoke a sweet new year. Exit the honey cake, enter the rosemary honey apple galette.",http://www.npr.org/2011/09/20/140639750/grown-up-apples-and-honey-for-rosh-hashanah
37,9/13/2011,Quick Breads: A Solution To Summer's Bounty,"At this time of year, most gardeners have too much of a good thing. What to do with it all? T. Susan Chang offers some tasty breads you can make in the blink of a baker's eye.",http://www.npr.org/2011/09/13/140441441/quick-breads-a-solution-to-summers-bounty
36,9/6/2011,Confessions Of A Sriracha Fanatic,"Sriracha sauce - that wondrous concoction of red jalapeno chili peppers, vinegar, garlic, sugar and salt - is simple and pure, with a depth of flavor that matches its unmistakable heat. If you like your meals with a little kick, Lynda Balslev has some recommendations that will knock you off your feet.",http://www.npr.org/2011/09/06/140220680/confessions-of-a-sriracha-fanatic
35,8/31/2011,Green Tomatoes: An End-Of-Summer Bonus,"Most Americans are familiar with fried green tomatoes, where the  under-ripe fruits are dredged in a flour or cornmeal coating and  pan-fried to a delicious crisp. But a  trove of other recipes, from pickles to pasta, make  good use of the garden's detritus.",http://www.npr.org/2011/08/30/140036782/green-tomatoes-an-end-of-summer-bonus
34,8/24/2011,Plain Vanilla No More: Ice Cream To Swoon For,"Black pepper, basil, balsamic vinegar - in ice cream? If typical frozen treats leave you feeling a bit pedestrian, food writer T. Susan Chang has some recommendations that may sweep you off your feet.",http://www.npr.org/2011/08/23/139880816/plain-vanilla-no-more-ice-cream-to-swoon-for
33,8/17/2011,Hold The Mayo ... While I Get A Spoon,"There are people who don't like mayonnaise, and there are people who just ",http://www.npr.org/2011/08/16/139673656/hold-the-mayo-while-i-get-a-spoon
32,8/9/2011,"Corn, East Indian Style","A nearly ubiquitous ingredient in American foods, corn turns up less often in India. But when it does, it's often fresh, hot and abundantly seasoned. Food writer Monica Bhide serves this American summer staple with a twist: spices from her native India.",http://www.npr.org/2011/08/09/139334228/corn-east-indian-style
31,8/3/2011,"Summer Shell Game: Grilled Clams, Mussels, Shrimp","Tucked in their natural confines and simmering in their own briny juices, these delicate meats cook up quick and delicious on the direct heat of the grill. But you may have to eat quickly, too.   You can make them in dozens, yet somehow they vanish off the plate as inexorably as  the last evening tide.",http://www.npr.org/2011/08/03/138917315/summer-shell-game-grilled-clams-mussels-shrimp
30,7/27/2011,The Many Melons Of Summer,"It's hard to beat a plain slice of cool melon on a hot day. But old standbys like cantaloupe and honeydew are now joined by more exotic varieties in the markets, and their subtleties are worth exploring - in soups, salads and other creative dishes.",http://www.npr.org/2011/07/27/138698041/the-many-melons-of-summer
29,7/20/2011,The Lighter Side Of Traditional Soviet Summer Fare,"The former Soviet Union once spanned an area nearly the size of North America, and the flavors of that empire remain rooted in regional cuisines. But it's not all stick-to-your-ribs fare like borscht and potatoes and dumplings. There's also a strong tradition of light meals that make the most of summer.",http://www.npr.org/2011/07/20/138513444/the-lighter-side-of-traditional-soviet-summer-fare
28,7/13/2011,The Glorious Pasta Of Summer,"Beat the heat (and the spaghetti-and-meatball doldrums) by pairing fun pasta shapes with fast, fresh sauces - hardly sauces at all, actually, but simple sautes of vegetables and herbs in olive oil.",http://www.npr.org/2011/07/14/137794595/the-glorious-pasta-of-summer
27,7/6/2011,"Fresh, Feisty Arugula: More Than A Salad Green","Known as ""rocket"" in parts of the world, arugula has an explosive, peppery flavor that pairs perfectly with sweet or citrusy fruits and salty meats and cheeses. Here, arugula takes meaty pizza, nutty quinoa and creamy pasta dishes to new heights.",http://www.npr.org/2011/07/06/137623588/fresh-feisty-arugula-more-than-a-salad-green
26,7/4/2011,July 4 Barbecue From America's Melting Pot,"All over the world, people have been grilling since they discovered fire, and immigrants to the United States brought their signature flavors with them. Hot dogs and burgers are joined by chorizo, kalbi, yakitori, kebab and more as we fire up the grill for Independence Day.",http://www.npr.org/2011/07/06/137472461/july-4-barbecue-from-americas-melting-pot
25,6/21/2011,'No Wheat' Doesn't Mean 'No Noodles',"Out of fellow-feeling for friends who eat gluten-free, food writer and noodle lover T. Susan Chang pondered a life without wheat that is not a life without noodles. When it comes to wheat-free, she says, Asian rice noodles are the crossover stars. But they're not alone.",http://www.npr.org/2011/07/06/137219913/no-wheat-doesn-t-mean-no-noodles
24,6/15/2011,Party Like The Swedes On Summer Solstice,The Swedish summer solstice celebration of ,http://www.npr.org/2011/07/06/137176955/party-like-the-swedes-on-summer-solstice
23,6/8/2011,"Oh, The Things You Can Do With A Farm-Share Box","Sign up with a local farm for periodic samplings of vegetables and fruits, and sometimes eggs and dairy and more. You might not always recognize every item in the box of goodies you'll get, but they're almost certain to inspire. These recipes will help get you started.",http://www.npr.org/2011/07/06/137034621/oh-the-things-you-can-do-with-a-farm-share-box
22,6/1/2011,Nuts For Nutella,"There are many other brands of chocolate-hazelnut spreads, and it can even be made at home. But for food writer Monica Bhide, there is only one Nutella. This sweet, cheerful reminder of her childhood inspires recipes and serving suggestions from fellow fans near and far.",http://www.npr.org/2011/07/06/136824166/nuts-for-nutella
21,5/25/2011,Homemade Sausages For A Memorable Day,The traditional start of grilling season - Memorial Day weekend - offers an opportunity to impress cookout crowds with freshly made links or patties.,http://www.npr.org/2011/07/06/136616733/homemade-sausages-for-a-memorable-day
20,5/18/2011,Canned Won't Do: Spring Brings Fresh Bamboo Shoots,"Bearing no relation to the stringy, bland canned version, fresh bamboo shoots invoke a spirit of gratitude in these savory recipes with Japanese roots. The young tips of the hardwood stalks - tender and aromatic, with a taste like artichoke, corn and hearts of palm - are a fleeting springtime crop.",http://www.npr.org/2011/07/06/136394119/canned-wont-do-spring-brings-fresh-bamboo-shoots
19,5/11/2011,Sweet And Spicy Flavors Of Northern Thailand,"In Chiang Mai, food writer Eve Turow discovered a key to regional cooking: simplicity. Her favorite recipes showcase Thai mastery of the four basic tastes (sweet, salty,  bitter and sour) while letting fresh ingredients shine. At home, she re-creates the dishes she fell in love with.",http://www.npr.org/2011/05/11/136175803/sweet-and-spicy-flavors-of-northern-thailand
18,5/4/2011,"Say It With Flour: Muffins, Scones And Waffles For Mother's Day","Baked goods are just the ticket for kids (and adults) who want to whip up a treat for dear Mom. The batter or  dough can be made before it goes anywhere near the heat, there are no  knives or open flames to worry about, and  the cooking time allows ample opportunity to clean up and break  out the crayons to make a card.",http://www.npr.org/2011/05/04/135634688/say-it-with-flour-muffins-scones-waffles-for-mom
17,4/27/2011,Garam Masala: A Taste Worth Acquiring,"Every region in India, every area, every house, every cook within every house has a favorite version of this warm blend of spices, says food writer Monica Bhide. Its potency didn't appeal to her when she was a child, but she grew to appreciate the magic behind ",http://www.npr.org/2011/04/27/135761263/garam-masala-a-taste-worth-acquiring
16,4/20/2011,Miso: An Ancient Solution For Modern Meals,"The fermented soybean paste long used in Asian cooking is now commonly found in U.S. food stores. With its bold flavors and colors, a dollop of miso can help transform simple ingredients into an unusual, delectable and elegant meal in a matter of minutes.",http://www.npr.org/2011/04/20/135543251/miso-an-ancient-solution-for-modern-meals
15,4/13/2011,A Passover Recipe As Easy As Matzo Pie,"Minas, or layered matzo pies, are found in Jewish cuisine from Egypt to Turkey to the Isle of Rhodes. Sheets of stiff matzo crackers are softened with water until pliable, then layered with savory fillings and baked, yielding something akin to a Passover-friendly, Ottoman-inflected take on lasagna.",http://www.npr.org/2011/04/13/135345886/a-passover-recipe-as-easy-as-matzo-pie
14,4/6/2011,Getting To The Heart Of The Artichoke,"It may look intimidating, but beneath the thorny exterior, the artichoke is richly flavored, nutritious and totally worth the trouble.",http://www.npr.org/2011/04/06/135163626/getting-to-the-heart-of-the-artichoke
13,3/30/2011,The Other Half Of The Egg,"If you find yourself tearing through egg yolks in the kitchen, with a surplus of whites left behind, don't just toss them out. It's the white that gives life to sweet and spicy nuts, sichuan pork and classic cookies like macaroons and financiers.",http://www.npr.org/2011/03/30/134953739/the-other-half-of-the-egg
12,3/23/2011,Cooking With Yogurt: Cultured Flavors,"This protein-rich ingredient has an important place at the Indian table. It's used to tenderize meat, as a souring agent and as a base for curries, as well as in desserts. Making your own yogurt is simple, and cooking with it isn't too complicated, if you know a few tricks.",http://www.npr.org/2011/03/23/134759766/cooking-with-yogurt-cultured-flavors
11,3/16/2011,Eating O' The Greens: Beyond Southern Side Dishes,"Although they're known as a slow-cooked, down-home side dish, greens aren't just for Southerners. Their flavors - from sweet to bitter to earthy - brighten soups, salads, omelets and more.",http://www.npr.org/2011/03/21/134564185/you-dont-have-to-be-southern-to-love-greens
10,3/8/2011,Making Math Appetizing: Pies For Pi Day,"When you think of food-focused holidays in March, St. Patrick's Day may leap to mind. But before you start counting clover leaves, there's some other math to do. Pi Day, celebrated on March 14, pays homage to the mathematics of a circle with, of course, pie.",http://www.npr.org/2011/03/14/134367508/celebrating-the-pies-of-march
9,3/2/2011,Welcome Fruit To Savory Dishes,Trying to figure out what do with that chicken breast or pork chop? Take a look in your fruit bowl. The sweet flavors of fresh and dried fruits liven up a meaty main dish or even a veggie side.,http://www.npr.org/2011/03/03/134167591/welcome-fruit-to-savory-dishes
8,2/23/2011,There's More To Okra Than Frying,"If you've had a slimy dining experience with this slender green vegetable, have no fear: Food writer Monica Bhide shares her grandmother's slime-busting tips, plus recipes that go beyond the traditional Southern fried fare.",http://www.npr.org/2011/02/23/133965525/theres-more-to-okra-than-frying
7,2/16/2011,Totally Tubers: Rugged Winter Veggies Take Root,"Beneath their homely exteriors, celery root, Jerusalem artichokes, jicama and other tubers and roots have a lot to offer - adding flavor,  color and texture to the winter pot. And now these gnarly undergrounders are starting to step into the limelight.",http://www.npr.org/2011/02/17/133779706/totally-tuber-rugged-root-veggies-make-a-splash
6,2/9/2011,Chocolate Savories For Your Sweet,"A glittery, heart-shaped box of chocolates certainly is charming, but  that isn't all there is. Take a page from the ancients' cookbook and  give your loved one a series of savory chocolate pleasures. Vegetables, chicken, beef and pork all get a boost from this Valentine's Day staple.",http://www.npr.org/2011/02/09/133594508/chocolate-savories-for-your-sweet
5,2/2/2011,"Chinese New Year, Trinidad-Style","It may not be the first thing that comes to mind when you think of the Caribbean island, but Chinese food is as much a part of Trinidad as sandy beaches, palm trees and rum cocktails. And the New Year celebrations are a perfect showcase for the fusion fare.",http://www.npr.org/2011/02/02/133406659/chinese-new-year-trinidad-style
4,1/26/2011,Groovy Recipes That Are So Granola,"The crunchy-sweet concoction that became synonymous with the '60s is having a resurgence, with a boost from spices like cardamom. And it goes beyond the cereal bowl to bars, cookies and scones.",http://www.npr.org/2011/01/26/133213620/groovy-recipes-that-are-so-granola
3,1/19/2011,Chowders Are Winners On Winter Table,"Hovering somewhere between a soup and a stew, all chowders start with a good stock, salt and starch. And in the end, a true chowder has chunks. But if you're not trying to win your local sailing club's annual chowder competition, there's plenty of room to improvise.",http://www.npr.org/2011/01/19/133024115/chowders-are-winners-on-winter-table
2,1/12/2011,Not All Biscotti Are Created Equal,"Sometimes a cup of coffee is simply not enough. Sometimes a cup of  coffee needs a biscotti. But not just any biscotti. This baton-shaped Italian cookie should be dense, chunky, dunkable -- and noisy till the end.",http://www.npr.org/2011/01/12/132837211/not-all-biscotti-are-created-equal
1,1/4/2011,The Art Of The Danish Open-Face Sandwich,"In a country where understatement and simplicity reign, the unpretentious smorrebrod is a national dish. There are countless variations, from minimal to lavish, but all reflect straightforward Scandinavian sensibilities: simple, honest, local ingredients attractively presented with little waste.",http://www.npr.org/2011/01/04/132627711/the-art-of-the-danish-open-face-sandwich
52,12/29/2010,Sparkling Ways To Celebrate The Holidays,"If plain champagne just doesn't cut it, here's a host of other bubbly drinks to toast with, from the classic French 75 to a Douglas Fir Sparkletini. The basic cocktail building blocks of sparkle, spirit, sour and sweet can be combined in seemingly endless variations.",http://www.npr.org/2010/12/30/132399963/sparkling-ways-to-celebrate-the-holidays
51,12/17/2010,Homemade Candy Answers The Holiday Gift Question,"It's the perfect gift, as Fannie Farmer's classic cookbook states: ""Homemade candy, made from real cream, butter, fresh nuts, and rich chocolate, is a real and wonderful surprise."" And it's easier than you might think to whip up caramels, toffee, brittle, fudge and other treats.",http://www.npr.org/2010/12/18/132132539/homemade-candy-answers-the-holiday-gift-question
50,12/14/2010,Cider: A Winter Kitchen's Secret Weapon,"Apple cider - the alcoholic variety - was part of the foundation of America. Now its sweet descendant turns up often in school lunchboxes and at blood drives. But cider isn't just good for sipping; the apple slurry lends earthy sweetness to savory dishes in a brine, a vinaigrette and a glaze.",http://www.npr.org/2011/03/21/132054630/cider-winter-kitchen-s-secret-weapon
49,12/8/2010,Christmas Cookies Win A Trip To The Caribbean,Food writer Ramin Ganeshram marries the flavors of her West Indian heritage with the homey methods of American traditions in what has become her holiday ritual.,http://www.npr.org/2010/12/30/131872548/christmas-cookies-win-a-trip-to-the-caribbean
48,12/1/2010,Practical Locavorism: Bananas In Winter,"Food writer Peggy Bourjaily joined the movement to eat more seasonal foods from local sources, but the limited menu during the off-season didn't necessarily fly with her family. Then she found a way to invite other fruits and vegetables into her life -- but only during the cold months.",http://www.npr.org/2010/11/30/131695451/practical-locavorism-bananas-in-winter
47,11/24/2010,Thanksgiving Dinner With A Lighter Touch,"The holidays are a time of tradition, especially at the dining table. But America is a nation of blended tastes, so there's also room to experiment, right? Try this veggie-centric fare - simple in ingredients yet rich in flavor and substance - and you'll never miss the gravy.",http://www.npr.org/2010/11/23/131541045/thanksgiving-dinner-with-a-lighter-touch
46,11/17/2010,"You Say Hazelnuts, I Say Filberts: Any Way, Delicious","Depending on where you live, you may know these bronze-shelled little nuts by a number of names. And their uses are just as varied. From the nation's hazelnut capital, Oregon, come recipes for nut-studded salad, pasta and more.",http://www.npr.org/2010/11/16/131357714/you-say-filberts-i-say-hazelnuts-any-way-delicious
45,11/10/2010,Why I Don't Cook For My Parents,The meals we prepare and eat with our families growing up become synonymous with home. Food writer Monica Bhide says she loves to get recipe advice from her dad. But she rarely cooks her creations for him when they're together -- because she misses his cooking so much.,http://www.npr.org/templates/story/story.php?storyId=131183505
